,word1,word2,prediction
0,abandon,frost,-1.035709086805582
1,abandon,railroad,-1.0085319485515356
2,abortion,religion,-0.6230818629264832
3,abstract,candle,-0.9320289567112923
4,abstract,frog,-0.9016336873173714
5,abstract,moon,-0.847394585609436
6,abstract,rally,-0.9836983773857355
7,abuse,abuse,-0.0
8,abuse,disorder,-0.5383196175098419
9,accommodate,adjust,-0.6988112032413483
10,accommodation,accommodation,-0.0
11,accompany,walking,-0.9627120718359947
12,account,explanation,-0.7417463064193726
13,account,invoice,-0.5464689135551453
14,act,improvement,-1.0137251364067197
15,action,adjustment,-0.9445912949740887
16,action,entrance,-1.038365375250578
17,activity,solo,-1.003167528891936
18,activity,variation,-0.8420422226190567
19,actor,amateur,-0.8995982632040977
20,ad,track,-1.0241786763072014
21,add,increased,-0.7681831866502762
22,add,string,-0.7334684133529663
23,addition,segment,-0.7964096516370773
24,admitting,confess,-0.4640713930130005
25,adult,dentist,-0.9981509005883709
26,advance,advance,-0.0
27,advance,string,-1.0178020019084215
28,advice,recommendation,-0.6155632436275482
29,advised,murder,-0.9538158848881721
30,aerial,clown,-1.0943085625767708
31,africa,territory,-0.6867069900035858
32,age,history,-0.8573091924190521
33,agency,police,-0.7006316184997559
34,aim,intending,-0.6717887818813324
35,air,cold,-0.5767618119716644
36,air,plasma,-0.8218248635530472
37,air,satellite,-0.7105817794799805
38,aircraft,fleet,-0.4391842484474182
39,aircraft,flight,-0.3047753572463989
40,aircraft,yacht,-0.6437280476093292
41,airplane,plane,-0.15837836265563965
42,ale,bitter,-0.5358012020587921
43,alley,street,-0.39928627014160156
44,aluminum,component,-0.7580022662878036
45,aluminum,imperative,-1.053714293986559
46,american,lobster,-0.9971541133709252
47,ammunition,intolerable,-0.9521717764437199
48,amount,number,-0.6712987720966339
49,amounted,make,-1.0501972325146198
50,amusement,athletics,-0.7763704061508179
51,amusement,procedure,-1.0008595749386586
52,anatomy,palm,-0.858377993106842
53,ancient,city,-0.7992964088916779
54,angel,asphalt,-0.9565841071307659
55,angel,pod,-0.9035132378339767
56,angrier,stormy,-0.7788990437984467
57,animal,asia,-0.7819613367319107
58,animal,flora,-0.7331157624721527
59,animal,giraffe,-0.5249775648117065
60,animal,mural,-0.8723603188991547
61,animal,wild,-0.5586742460727692
62,animal,worm,-0.8030828833580017
63,animal,zoo,-0.40333032608032227
64,anniversary,marriage,-0.6269145011901855
65,answering,counter,-0.9058749452233315
66,anxiety,insecurities,-0.46124136447906494
67,apartment,staircase,-0.7721523344516754
68,appliance,dryer,-0.6049960255622864
69,appreciate,see,-0.6614351868629456
70,approach,avenue,-0.9776320233941078
71,approach,merit,-1.0237908642739058
72,approach,trench,-0.7507724463939667
73,approval,encouragement,-0.7941897660493851
74,approving,interaction,-0.9742343369871378
75,aquarium,coin,-1.1083149537444115
76,arch,brick,-0.6579650342464447
77,arch,roof,-0.5408959686756134
78,architecture,urban,-0.7043258249759674
79,area,space,-0.5820267200469971
80,argument,evidence,-0.6714870929718018
81,arm,bicycle,-0.7920909374952316
82,arm,television,-0.9350771084427834
83,arrange,discard,-0.6586114466190338
84,arrange,study,-0.9685694128274918
85,arrangement,blizzard,-1.019545091316104
86,arrangement,room,-0.7882820069789886
87,art,craft,-0.5939479470252991
88,art,gem,-0.8598125129938126
89,art,museum,-0.45570582151412964
90,art,painting,-0.26503151655197144
91,article,cup,-0.9512648843228817
92,article,girl,-0.8831757828593254
93,ash,bone,-0.7997363656759262
94,ash,coil,-1.0071435761637986
95,asphalt,crane,-0.9165288805961609
96,asphalt,water,-0.7455998957157135
97,assets,exclude,-0.8710707724094391
98,association,organization,-0.48438817262649536
99,association,realtor,-0.6657155454158783
100,asylum,dollar,-1.075996458530426
101,asylum,shelter,-0.8392541110515594
102,athletics,racing,-0.6473329365253448
103,athletics,swimming,-0.6052155494689941
104,attempt,give,-0.8189722150564194
105,attempt,initiate,-0.5649794638156891
106,attitude,notice,-0.8976091742515564
107,attitude,study,-0.9548408500850201
108,attorney,lawyer,-0.06606769561767578
109,auto,bright,-0.9846634427085519
110,automobile,fabric,-0.9662281163036823
