,word1,word2,prediction
0,abandon,frost,-1.067861646413803
1,abandon,railroad,-0.971856327727437
2,abortion,religion,-0.7587954252958298
3,abstract,candle,-0.98469911608845
4,abstract,frog,-1.007110537495464
5,abstract,moon,-1.066457249224186
6,abstract,rally,-1.0080222329124808
7,abuse,abuse,-0.0
8,abuse,disorder,-0.6896238923072815
9,accommodate,adjust,-0.7218842804431915
10,accommodation,accommodation,-0.0
11,accompany,walking,-0.9909947467967868
12,account,explanation,-0.7928287833929062
13,account,invoice,-0.7192781865596771
14,act,improvement,-1.0702760741114616
15,action,adjustment,-0.9086050912737846
16,action,entrance,-1.0973428413271904
17,activity,solo,-1.0333268754184246
18,activity,variation,-0.9208416193723679
19,actor,amateur,-0.9444746933877468
20,ad,track,-1.0225326586514711
21,add,increased,-0.8773918300867081
22,add,string,-0.8646635413169861
23,addition,segment,-0.9506235979497433
24,admitting,confess,-0.5595802664756775
25,adult,dentist,-0.9390280209481716
26,advance,advance,-0.0
27,advance,string,-1.0161025114357471
28,advice,recommendation,-0.5979023575782776
29,advised,murder,-1.0311450902372599
30,aerial,clown,-1.0098969116806984
31,africa,territory,-0.9769602809101343
32,age,history,-0.8585275262594223
33,agency,police,-0.8303288519382477
34,aim,intending,-0.7158963978290558
35,air,cold,-0.7409397065639496
36,air,plasma,-0.9121056422591209
37,air,satellite,-0.7827214598655701
38,aircraft,fleet,-0.5151089429855347
39,aircraft,flight,-0.4048335552215576
40,aircraft,yacht,-0.7200774848461151
41,airplane,plane,-0.26341408491134644
42,ale,bitter,-0.696437269449234
43,alley,street,-0.5556427538394928
44,aluminum,component,-0.9119351431727409
45,aluminum,imperative,-1.061472799628973
46,american,lobster,-1.053111083805561
47,ammunition,intolerable,-0.9641969799995422
48,amount,number,-0.7537852823734283
49,amounted,make,-1.0315357968211174
50,amusement,athletics,-0.903573714196682
51,amusement,procedure,-1.0256152339279652
52,anatomy,palm,-1.0358006656169891
53,ancient,city,-0.7679803669452667
54,angel,asphalt,-0.9667660444974899
55,angel,pod,-0.9607354663312435
56,angrier,stormy,-0.9103614613413811
57,animal,asia,-0.8911473900079727
58,animal,flora,-0.8673105984926224
59,animal,giraffe,-0.6593185067176819
60,animal,mural,-0.9321562200784683
61,animal,wild,-0.6878310441970825
62,animal,worm,-0.8870255053043365
63,animal,zoo,-0.5231253206729889
64,anniversary,marriage,-0.8471973538398743
65,answering,counter,-0.989777522161603
66,anxiety,insecurities,-0.6415259838104248
67,apartment,staircase,-0.8275836557149887
68,appliance,dryer,-0.6871073544025421
69,appreciate,see,-0.7140377461910248
70,approach,avenue,-0.8995322659611702
71,approach,merit,-0.9390667229890823
72,approach,trench,-0.9295892268419266
73,approval,encouragement,-0.8299985229969025
74,approving,interaction,-1.0573120042681694
75,aquarium,coin,-1.028897749260068
76,arch,brick,-0.7874258309602737
77,arch,roof,-0.777132660150528
78,architecture,urban,-0.8267385810613632
79,area,space,-0.7173933684825897
80,argument,evidence,-0.6344184577465057
81,arm,bicycle,-0.9024749100208282
82,arm,television,-0.9511555470526218
83,arrange,discard,-0.8234671652317047
84,arrange,study,-1.0232266653329134
85,arrangement,blizzard,-1.0717193111777306
86,arrangement,room,-0.9104521796107292
87,art,craft,-0.7496463358402252
88,art,gem,-0.9590102881193161
89,art,museum,-0.5304026007652283
90,art,painting,-0.39707255363464355
91,article,cup,-1.0153011344373226
92,article,girl,-1.0061135105788708
93,ash,bone,-0.9159057065844536
94,ash,coil,-1.0349464938044548
95,asphalt,crane,-0.8965014591813087
96,asphalt,water,-0.9039936512708664
97,assets,exclude,-0.8962087258696556
98,association,organization,-0.6005024015903473
99,association,realtor,-0.813688188791275
100,asylum,dollar,-0.9925142121501267
101,asylum,shelter,-0.7597538381814957
102,athletics,racing,-0.7986671179533005
103,athletics,swimming,-0.6994049251079559
104,attempt,give,-0.8777913376688957
105,attempt,initiate,-0.7295517921447754
106,attitude,notice,-0.9934391928836703
107,attitude,study,-0.9528240710496902
108,attorney,lawyer,-0.11723572015762329
109,auto,bright,-1.0146528612822294
110,automobile,fabric,-1.032361213117838
111,automobile,racing,-0.758203536272049
112,autumn,foliage,-0.616315096616745
